product_name,price,discount,date,source,,
Checked Shirt with Patch Pocket,624,54,15-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,16-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,17-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,18-01-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,19-01-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,20-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,22-01-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,22-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,23-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,23-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,24-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,25-01-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,26-01-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,26-01-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,27-01-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,28-01-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,29-01-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,02-02-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,06-02-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,10-02-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,16-02-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,23-02-2024,Myntra,,
Checked Shirt with Patch Pocket,831,39,26-02-2024,Myntra,,
Checked Shirt with Patch Pocket,831,39,27-02-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,29-02-2024,Myntra,,
Checked Shirt with Patch Pocket,656,52,01-03-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,01-03-2024,Myntra,,
Checked Shirt with Patch Pocket,736,46,02-03-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,05-03-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,09-03-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,16-03-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,18-03-2024,Myntra,,
Checked Shirt with Patch Pocket,688,49,21-03-2024,Myntra,,
Checked Shirt with Patch Pocket,800,41,30-03-2024,Myntra,,
Checked Shirt with Patch Pocket,1119,18,01-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,01-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,02-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,03-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,04-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,05-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,06-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,06-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,07-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,08-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,10-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,11-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,11-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,12-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,13-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,14-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,15-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,16-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,16-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,17-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,18-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,21-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,21-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,22-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,23-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,24-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,25-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,26-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,26-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,27-04-2024,Myntra,,
Checked Shirt with Patch Pocket,640,53,28-04-2024,Myntra,,
Checked Shirt with Patch Pocket,624,54,29-04-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,01-05-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,01-05-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,02-05-2024,Myntra,,
Checked Shirt with Patch Pocket,720,47,03-05-2024,Myntra,,
